id,name,Title analysis,Components counts
27934,Nice room with superb city view,"['Descriptive Adjectives', 'View']",2
27979,"Easy going landlord,easy place","['Additional Services', 'Descriptive Adjectives']",2
28745,modern-style apartment in Bangkok,"['Property Type', 'Location Details', 'Descriptive Adjectives']",3
47516,Beautiful waterfront house,"['Property Type', 'Descriptive Adjectives', 'View']",3
48736,Condo with Chaopraya River View,"['Property Type', 'View']",2
55681,Sathorn Terrace Apartment(61),"['Property Type', 'Location Details']",2
55686,Comfy bedroom near River pier & BTS Taksin.,"['Bedroom Count', 'Descriptive Adjectives', 'Proximity to Transit', 'Location Details']",4
62217,Luxury@swimpool/FreeWiFi/nearJJMkt,"['Descriptive Adjectives', 'Amenities', 'Proximity to Transit']",3
105042,Central Bangkok 3 Bedroom Apartment,"['Location Details', 'Bedroom Count', 'Property Type']",3
113744,River View - Ivy Condo (1 Bedroom),"['View', 'Property Type', 'Bedroom Count']",3
121410,"MetroPoint Suite Room, Near Airport","['Themed Features', 'Proximity to Transit']",2
145343,Boutique Rooms Near Bangkok Airport,"['Property Type', 'Location Details', 'Descriptive Adjectives']",3
156583,Studio near Chula University/Silom walk to MRT,"['Property Type', 'Location Details', 'Proximity to Transit']",3
159355,Nice and Cozy Room @ Sathorn Area,"['Descriptive Adjectives', 'Property Type', 'Location Details']",3
169285,Stay at the ROARING RATCHADA!,"['Themed Features', 'Location Details']",2
169514,2br apt in Sukhumvit Asoke near BTS,"['Bedroom Count', 'Property Type', 'Location Details', 'Proximity to Transit']",4
172332,Tranquility found in busy Bangkok near new skytran,"['Descriptive Adjectives', 'Location Details', 'Proximity to Transit']",3
241416,Sukhumvit52 near SkyTrain to BkkCBD,"['Location Details', 'Proximity to Transit']",2
296960,Luxury&Comfy wthWifi walk-distance to Subwy-Malls,"['Descriptive Adjectives', 'Amenities', 'Proximity to Transit']",3
313459,One Bed Room at Sukumvit 50 Bangkok,"['Bedroom Count', 'Property Type', 'Location Details']",3
320014,2-BR condo near BTS on Sukhumvit Rd,"['Bedroom Count', 'Property Type', 'Proximity to Transit', 'Location Details']",4
384924,Oasis in the heart of Bangkok,"['Themed Features', 'Location Details']",2
385130,Lumphini 4 City Center | Private Bath | AC,"['Location Details', 'Amenities']",2
385278,Nice River View Condominium 30 sq.m,"['Descriptive Adjectives', 'View', 'Property Type']",3
385979,"Clean,cozy,convenient APT at BTS","['Descriptive Adjectives', 'Proximity to Transit', 'Property Type']",3
390611,Sukhumvit apartment near Nana BTS,"['Property Type', 'Location Details', 'Proximity to Transit']",3
393066,SKY 18 - 99 feet in the sky,"['Themed Features', 'View']",2
397449,Cozy Studio Apt near Skytrain.(72/74),"['Descriptive Adjectives', 'Property Type', 'Proximity to Transit']",3
407381,3 minutes walk to Phrom Phong BTS,['Proximity to Transit'],1
413824,Lumphini 6 Central Oasis: Private EnSuite,"['Location Details', 'Themed Features', 'Amenities']",3
428360,Big Studio ensuite private kitchen near to PK gym,"['Property Type', 'Amenities', 'Proximity to Transit']",3
428421,2. Bangkok bright Apartment 201,"['Bedroom Count', 'Descriptive Adjectives', 'Property Type']",3
428950,BKK City Fab Luxx Studio free wifi @1194,"['Property Type', 'Descriptive Adjectives', 'Amenities']",3
430691,5. Bangkok Bright Apartment -WIFI1194,"['Property Type', 'Descriptive Adjectives', 'Amenities']",3
430703,"6. Bangkok nice, cosy Apartment 201 near to PK gym","['Property Type', 'Descriptive Adjectives', 'Proximity to Transit']",3
430706,7. Bangkok big bright Apartment 402,"['Property Type', 'Descriptive Adjectives']",2
432004,STUDIO-WIFI-RAIN SHOWER-SATHORN,"['Property Type', 'Amenities', 'Location Details']",3
439051,Luxury Riverview Teakwood Apartment-Great Views :),"['Descriptive Adjectives', 'View', 'Property Type']",3
441869,Furnished 1 br Sukhumvit21 MRT/BTS,"['Property Type', 'Bedroom Count', 'Proximity to Transit']",3
441870,Spacious/Furnished room Sukhumvit21,"['Descriptive Adjectives', 'Property Type']",2
449782,BKK Center Fab studio1150 free wifi,"['Property Type', 'Descriptive Adjectives', 'Amenities']",3
449793,Ensuite Bright Studio-super WI-FI,"['Property Type', 'Amenities', 'Descriptive Adjectives']",3
449826,Loft near Sathon/Silom - BTS SaphanTaksin,"['Property Type', 'Location Details', 'Proximity to Transit']",3
450464,9. Bangkok Mini Stylish Studio 205,"['Property Type', 'Descriptive Adjectives']",2
527553,"Beautiful Apt @ Ratchayothin BTS, Free Wifi","['Descriptive Adjectives', 'Property Type', 'Proximity to Transit', 'Amenities']",4
534241,Stunning 24th Fl Terrace Penthouse!,"['Descriptive Adjectives', 'View', 'Property Type']",3
580270,SKY 21 Colorful Room with Soaring View Center BKK,"['Themed Features', 'View', 'Location Details']",3
581755,Brand New room near Airport Railway,"['Descriptive Adjectives', 'Proximity to Transit']",2
595242,"Premium Riverfront 2BRs 500mb+PS4Pro+65""TV Netflix","['Descriptive Adjectives', 'Bedroom Count', 'Amenities', 'View']",4
605314,SKY 22 bedroom with a smooth life view,"['Themed Features', 'View']",2
605343,SKY 11 Sweet Dreams in the Center of Bangkok,"['Themed Features', 'Location Details']",2
608624,Big Jacuzzi+BTS/BRT+wifi 300mbps,"['Amenities', 'Proximity to Transit']",2
688013,1 BR Near BTS WIFI/POOL/FITNESS (B),"['Bedroom Count', 'Proximity to Transit', 'Amenities']",3
691478,Studio ๏ Affordable comfort,"['Property Type', 'Descriptive Adjectives']",2
691526,Studio with kitchen @ Ratchada,"['Property Type', 'Amenities', 'Location Details']",3
691540,SN Suite with 1 Bedroom,"['Themed Features', 'Bedroom Count']",2
715652,Cosy 1 bed room service apartment!,"['Descriptive Adjectives', 'Bedroom Count', 'Property Type']",3
722291,"1 bedroom apartment, Center Bangkok","['Bedroom Count', 'Property Type', 'Location Details']",3
722660,"Bangkok View, Luxurious 1 bedroom,Sathorn.","['View', 'Descriptive Adjectives', 'Bedroom Count', 'Location Details']",4
723070,"One Bed apartmentm,The Seed Mingle condo, Bangkok","['Bedroom Count', 'Property Type', 'Location Details']",3
742693,Nice 1 Bed 5 mins walk Thonglor BTS,"['Descriptive Adjectives', 'Bedroom Count', 'Proximity to Transit', 'Location Details']",4
758483,Thong Lo Living: Stylish/Spacious 90 sqm Apartment,"['Themed Features', 'Descriptive Adjectives', 'Property Type']",3
768019,"Luxury 3BR+ Pool Villa for 6-10, great location","['Descriptive Adjectives', 'Bedroom Count', 'Amenities', 'Property Type']",4
788043,Thonburi APT @Sky train,"['Property Type', 'Location Details', 'Proximity to Transit']",3
808870,Chambre privée en condominium,['Property Type'],1
811670,Lovely quaint Bangkok home,"['Descriptive Adjectives', 'Location Details', 'Property Type']",3
818612,Budget price but 5 star value near new skytrain,"['Descriptive Adjectives', 'Proximity to Transit']",2
820395,Cosy cottage in garden setting near new skytrain,"['Descriptive Adjectives', 'Property Type', 'Location Details', 'Proximity to Transit']",4
822214,Jade House overlooking Pool near new skytrain,"['Property Type', 'View', 'Proximity to Transit']",3
837342,Studio with breakfast ๏ Bangkok,"['Property Type', 'Amenities', 'Location Details']",3
851956,Great bright&spacious 1B BTS Onnut,"['Descriptive Adjectives', 'Bedroom Count', 'Proximity to Transit']",3
852063,2BR Apt. near Sathon Silom-free WIFI,"['Bedroom Count', 'Property Type', 'Location Details', 'Amenities']",4
852308,วรภาดา น้อยพันธ์,[],0
858311,"Luxury Riverview Penthouse, 5 Pax, near Iconsiam","['Descriptive Adjectives', 'View', 'Property Type', 'Location Details']",4
858338,SKY 14 Vibrant street Cozy n Cool near center,"['Themed Features', 'Descriptive Adjectives', 'Proximity to Transit']",3
861105,Home Sweet Home For Your Family near new skytrain,"['Themed Features', 'Proximity to Transit']",2
866152,Unit in relaxing garden setting near new skytrain,"['Property Type', 'Location Details', 'Proximity to Transit']",3
866329,Entire Studio center of Bangkok,"['Property Type', 'Location Details']",2
869715,Stylish 1 bed 3 min walk from BTS,"['Descriptive Adjectives', 'Bedroom Count', 'Proximity to Transit']",3
873841,Suite,['Property Type'],1
881208,1 Bedroom in trendy Sathorn area near Skytrain!,"['Bedroom Count', 'Location Details', 'Proximity to Transit']",3
